Date,Open,High,Low,Close,Volume
2025-02-26,4819.975197704081,4842.618055046237,4780.596315369898,4823.9130859375,2485700
2025-02-27,4848.524925946469,4891.841696858478,4830.804428755193,4887.90380859375,2238700
2025-02-28,4867.229780249696,4869.198724335557,4798.316737244542,4859.35400390625,4578300
2025-03-03,4881.012449232712,4957.80126953125,4879.043505122493,4957.80126953125,1584000
2025-03-04,4946.972156261707,4967.646069750562,4896.764080645917,4927.28271484375,1742600
2025-03-05,4921.375504803506,4959.769912622537,4902.67053689167,4945.9873046875,2091600
2025-03-06,4958.78556658738,5028.683080033421,4949.92531840408,4989.30419921875,1741200
2025-03-07,4913.49969902889,4940.08044274233,4878.05870741097,4901.68603515625,1660600
2025-03-10,4902.670527035711,4964.692262618692,4894.794751088665,4931.22021484375,1252400
2025-03-11,4931.220351685638,4942.0495439133365,4818.990541325853,4840.64892578125,2083500
2025-03-12,4824.897482403673,4879.043444764865,4817.021706060227,4859.35400390625,2167600
2025-03-13,4851.478030610177,4856.400390625,4816.037038503447,4856.400390625,2014800
2025-03-14,4833.757631127079,4889.872536417149,4831.788687081813,4855.416015625,1483100
2025-03-17,4921.375521162142,4983.397257075968,4878.058753222327,4970.59912109375,1764000
2025-03-18,4991.273420061384,5013.916277785528,4951.894537062873,4961.7392578125,1683800
2025-03-19,4939.096324250301,5020.807505217568,4936.142908070762,4997.18017578125,1039300
2025-03-21,4971.583905189063,5018.83856408987,4968.630489007762,5002.1025390625,2254200
2025-03-24,4976.505959656522,5003.086703654687,4939.096023659104,4980.44384765625,1213400
2025-03-25,4979.459702289691,5043.4503864828175,4963.708149257538,5036.55908203125,1605200
2025-03-26,5045.419052014163,5081.84451638968,5020.807251760435,5059.20166015625,1743600
2025-03-27,5041.481366459628,5094.642857142857,5028.683229813665,5072.0,2135100
2025-03-28,5115.0,5115.0,5036.0,5076.0,1431200
2025-03-31,4976.0,5022.0,4926.0,4938.0,2191000
2025-04-01,5008.0,5079.0,4988.0,5001.0,1409300
2025-04-02,4980.0,4987.0,4911.0,4933.0,1212200
2025-04-03,4723.0,4894.0,4715.0,4893.0,2056500
2025-04-04,4797.0,4923.0,4797.0,4916.0,1915900
2025-04-07,4715.0,4858.0,4596.0,4749.0,2728500
2025-04-08,4817.0,4898.0,4765.0,4869.0,2300800
2025-04-09,4803.0,4849.0,4749.0,4798.0,1833000
2025-04-10,4930.0,5045.0,4874.0,5045.0,2382900
2025-04-11,4852.0,4949.0,4838.0,4940.0,2087300
2025-04-14,4981.0,5020.0,4957.0,4993.0,1522200
2025-04-15,5080.0,5105.0,4996.0,5021.0,1423800
2025-04-16,5017.0,5072.0,5003.0,5061.0,1047600
2025-04-17,5045.0,5097.0,5030.0,5097.0,868300
2025-04-18,5125.0,5172.0,5096.0,5167.0,823300
2025-04-21,5170.0,5170.0,5118.0,5146.0,569900
2025-04-22,5128.0,5155.0,5106.0,5135.0,766700
2025-04-23,5200.0,5205.0,5148.0,5178.0,1297100
2025-04-24,5155.0,5169.0,5056.0,5079.0,1639500
2025-04-25,5065.0,5117.0,5040.0,5079.0,1461600
2025-04-28,5103.0,5159.0,5097.0,5141.0,982200
2025-04-30,5197.0,5197.0,5121.0,5155.0,1925900
2025-05-01,5155.0,5178.0,5109.0,5159.0,720900
2025-05-02,5197.0,5235.0,5182.0,5192.0,1208800
2025-05-07,5250.0,5284.0,5216.0,5232.0,1545700
2025-05-08,5230.0,5249.0,5145.0,5157.0,1124300
2025-05-09,5230.0,5235.0,5159.0,5212.0,1438600
2025-05-12,5247.0,5249.0,5196.0,5230.0,990800
2025-05-13,5275.0,5279.0,5063.0,5063.0,2104100
2025-05-14,4893.0,5013.0,4881.0,4950.0,2303800
2025-05-15,4950.0,4965.0,4884.0,4930.0,1395800
2025-05-16,4982.0,5011.0,4944.0,5011.0,1792100
2025-05-19,4980.0,5060.0,4958.0,5025.0,1257900
2025-05-20,5058.0,5062.0,4912.0,4948.0,1582900
2025-05-21,5018.0,5019.0,4945.0,4960.0,1501400
2025-05-22,4958.0,4988.0,4892.0,4930.0,1244700
2025-05-23,4950.0,4950.0,4898.0,4918.0,992800
2025-05-26,4929.0,4976.0,4914.0,4952.0,1015900
2025-05-27,4928.0,4938.0,4899.0,4911.0,922200
2025-05-28,4959.0,4962.0,4910.0,4917.0,1262700
2025-05-29,4955.0,5015.0,4952.0,4961.0,1427600
2025-05-30,4859.0,4954.0,4859.0,4871.0,4787300
2025-06-02,4882.0,4933.0,4866.0,4910.0,1466400
2025-06-03,4892.0,4913.0,4859.0,4872.0,1556700
2025-06-04,4850.0,4917.0,4848.0,4896.0,1363100
2025-06-05,4890.0,4894.0,4820.0,4829.0,1166300
2025-06-06,4829.0,4859.0,4814.0,4859.0,1218600
